SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
L,0.312243,0.58034,0,0,0.312243,0.58034,0.6,0.6,5.19994,0,6.92649e-310
R,0.714307,0.588456,7.07612,5.02867e-17,0.862916,0.534212,0.859997,0.600045,5.19975,0.00179686,74.2962
L,1.16103,0.493474,7.06177,-0.486664,1.17385,0.481073,1.11998,0.600225,5.19943,0.00538996,0.184894
R,1.27663,0.513677,6.94374,1.34934,0.969149,0.397513,1.37996,0.600629,5.19898,0.0107781,1.81002
L,1.61362,0.594645,6.88095,1.72126,1.65063,0.62469,1.6399,0.601347,5.19839,0.0179597,0.201185
R,1.82145,0.569773,6.30507,0.592165,1.62331,0.499091,1.89982,0.60247,5.19766,0.0269323,4.23524
L,2.15296,0.616063,6.31019,0.686505,2.18882,0.648739,2.1597,0.604086,5.19678,0.0376932,0.160437
R,2.36893,0.643569,5.56485,0.504338,1.96701,0.557117,2.41954,0.606284,5.19573,0.0502389,7.68141
L,2.64752,0.666668,5.573,0.440928,2.65526,0.66598,2.67932,0.609155,5.1945,0.0645654,0.00356139
R,2.9146,0.656661,5.50453,0.119645,2.92034,0.645898,2.93904,0.612786,5.19309,0.080668,0.468934
L,3.14963,0.654218,5.46279,0.033631,3.01222,0.637046,3.19869,0.617267,5.19147,0.0985415,1.08383
R,3.43751,0.5466,5.43251,-0.85822,3.56096,0.485311,3.45825,0.622685,5.18963,0.11818,1.5108
L,3.74255,0.431551,5.3457,-1.58081,3.89365,0.311793,3.71772,0.62913,5.18754,0.139576,2.25443
R,4.02191,0.517427,5.48257,-0.786531,4.19786,0.698311,3.97708,0.636689,5.18519,0.162724,4.05531
L,4.29588,0.50866,5.46853,-0.754973,4.30935,0.578564,4.23632,0.645449,5.18256,0.187614,0.334005
R,4.55537,0.545646,5.40225,-0.510948,4.61908,0.68951,4.49542,0.655498,5.17962,0.214238,1.89321
L,4.74104,0.655773,5.24569,0.0682107,4.35143,0.899174,4.75437,0.666921,5.17634,0.242587,12.3079
R,4.99292,0.654307,5.17375,0.0201453,5.20902,0.66599,5.01315,0.679804,5.1727,0.272649,1.66072
L,5.29426,0.648687,5.23371,-0.0376589,5.51894,0.648233,5.27175,0.694234,5.16867,0.304413,2.6801
R,5.55284,0.655311,5.26916,-0.0155524,5.22835,0.639362,5.53013,0.710295,5.16422,0.337868,1.76897
L,5.84733,0.669922,5.30872,0.0156158,6.022,0.708619,5.78828,0.728072,5.15932,0.372999,1.69802
R,6.09014,0.595548,5.2259,-0.27036,5.89392,0.373584,6.04618,0.747647,5.15393,0.409793,3.556
L,6.34462,0.708986,5.20524,0.121776,6.34249,0.948833,6.30379,0.769103,5.14803,0.448233,3.92148
R,6.59501,0.739704,5.1618,0.192814,6.62134,0.836138,6.5611,0.792523,5.14157,0.488305,0.546073
L,6.84222,0.738268,5.14992,0.160856,6.78214,0.714036,6.81808,0.817988,5.13452,0.52999,0.225772
R,7.08522,0.720933,5.06128,0.0771706,7.29121,0.630741,7.07469,0.845578,5.12685,0.573269,2.76713
L,7.30415,0.804847,5.00417,0.298175,7.13735,0.957217,7.3309,0.875373,5.11851,0.618123,3.06133
R,7.59702,0.815145,5.12985,0.297788,8.08349,0.819605,7.58668,0.907449,5.10946,0.664531,4.61394
L,7.84744,0.794576,5.12657,0.208909,7.80533,0.719126,7.84199,0.941886,5.09966,0.712469,0.461592
R,8.09708,0.811101,5.06203,0.219932,8.40453,0.884557,8.0968,0.978759,5.08907,0.761915,2.32529
L,8.33422,0.829433,5.03998,0.241871,8.24796,0.840322,8.35106,1.01814,5.07766,0.812843,0.399085
R,8.60354,0.915451,5.1338,0.443316,8.45858,1.41118,8.60472,1.06011,5.06537,0.865226,7.12333
