SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
L,0.312243,0.58034,0,0,0.312243,0.58034,0.6,0.6,5.19994,0,6.89954e-310
R,0.576769,0.338071,4.05469,1.95298,0.862916,0.534212,0.859997,0.600045,5.19975,0.00179686,21.6887
L,1.15335,0.490874,4.14117,1.77026,1.17385,0.481073,1.11998,0.600225,5.19943,0.00538996,0.392934
R,1.28882,0.527598,4.27008,1.52585,0.969149,0.397513,1.37996,0.600629,5.19898,0.0107781,2.00651
L,1.56294,0.623334,4.42596,1.10424,1.65063,0.62469,1.6399,0.601347,5.19839,0.0179597,0.892112
R,1.82857,0.588515,4.35966,-1.61277,1.62331,0.499091,1.89982,0.60247,5.19766,0.0269323,1.77494
L,2.10619,0.574139,4.57238,-0.980619,2.18882,0.648739,2.1597,0.604086,5.19678,0.0376932,1.01496
R,2.34277,0.641685,5.02702,0.17934,1.96701,0.557117,2.41954,0.606284,5.19573,0.0502389,3.4403
L,2.60885,0.657358,5.03694,0.283672,2.65526,0.66598,2.67932,0.609155,5.1945,0.0645654,0.136612
R,2.87691,0.650533,5.22843,0.244514,2.92034,0.645898,2.93904,0.612786,5.19309,0.080668,0.348461
L,3.10761,0.656449,5.19265,0.313681,3.01222,0.637046,3.19869,0.617267,5.19147,0.0985415,0.544907
R,3.39742,0.555604,5.30721,-0.493776,3.56096,0.485311,3.45825,0.622685,5.18963,0.11818,2.11575
L,3.70916,0.448029,5.29329,-1.22965,3.89365,0.311793,3.71772,0.62913,5.18754,0.139576,3.23685
R,3.98533,0.538133,5.4577,-0.318301,4.19786,0.698311,3.97708,0.636689,5.18519,0.162724,3.27498
L,4.26435,0.541142,5.4594,-0.221181,4.30935,0.578564,4.23632,0.645449,5.18256,0.187614,0.203164
R,4.52015,0.595326,5.27588,0.142754,4.61908,0.68951,4.49542,0.655498,5.17962,0.214238,0.98306
L,4.69461,0.731174,4.99867,0.876128,4.35143,0.899174,4.75437,0.666921,5.17634,0.242587,8.77702
R,4.95008,0.728896,4.90669,0.761301,5.20902,0.66599,5.01315,0.679804,5.1727,0.272649,1.56114
L,5.25474,0.714119,5.02173,0.591064,5.51894,0.648233,5.27175,0.694234,5.16867,0.304413,4.17474
R,5.514,0.722687,5.23919,0.587545,5.22835,0.639362,5.53013,0.710295,5.16422,0.337868,1.80924
L,5.8185,0.729139,5.31368,0.529742,6.022,0.708619,5.78828,0.728072,5.15932,0.372999,2.27976
R,6.06543,0.650829,5.06966,0.151847,5.89392,0.373584,6.04618,0.747647,5.15393,0.409793,4.2497
L,6.31471,0.766917,5.05166,0.566183,6.34249,0.948833,6.30379,0.769103,5.14803,0.448233,2.37594
R,6.56475,0.804046,5.00882,0.6377,6.62134,0.836138,6.5611,0.792523,5.14157,0.488305,0.0786694
L,6.81187,0.792654,5.00774,0.536929,6.78214,0.714036,6.81808,0.817988,5.13452,0.52999,0.472149
R,7.05679,0.776849,4.80781,0.414197,7.29121,0.630741,7.07469,0.845578,5.12685,0.573269,1.95151
L,7.26638,0.858852,4.74359,0.632455,7.13735,0.957217,7.3309,0.875373,5.11851,0.618123,1.6074
R,7.56329,0.873896,5.17968,0.650471,8.08349,0.819605,7.58668,0.907449,5.10946,0.664531,5.44448
L,7.82297,0.840378,5.18604,0.470878,7.80533,0.719126,7.84199,0.941886,5.09966,0.712469,1.02649
R,8.07346,0.86006,4.93987,0.456187,8.40453,0.884557,8.0968,0.978759,5.08907,0.761915,2.16893
L,8.30881,0.869413,4.92023,0.435461,8.24796,0.840322,8.35106,1.01814,5.07766,0.812843,0.249528
R,8.57715,0.969727,5.27087,0.730771,8.45858,1.41118,8.60472,1.06011,5.06537,0.865226,5.55597
L,8.82338,1.02435,5.23162,0.822765,8.74615,1.04858,8.85775,1.10473,5.05216,0.919037,0.366229
R,9.1157,1.06819,5.24317,0.860391,9.8809,1.1419,9.1101,1.15208,5.03798,0.974245,6.84871
L,9.35852,1.0918,5.20847,0.839242,9.25579,1.04913,9.36172,1.20223,5.0228,1.03082,0.672579
R,9.63839,1.17461,5.24367,0.999496,10.1016,1.52474,9.61255,1.25524,5.00656,1.08873,4.00649
L,9.9182,1.30462,5.24049,1.28751,10.0484,1.44598,9.86254,1.31118,4.98922,1.14794,2.24554
R,10.1648,1.40552,4.91295,1.39882,10.5377,1.72555,10.1117,1.37011,4.97074,1.20841,4.10151
L,10.3832,1.47507,4.84756,1.46122,10.2492,1.45907,10.3598,1.4321,4.95106,1.2701,0.965022
R,10.6143,1.56182,4.59341,1.51096,10.9084,1.70343,10.6069,1.49721,4.93014,1.33298,2.02796
L,10.8301,1.5725,4.56532,1.39415,10.7313,1.45265,10.853,1.56549,4.90794,1.39701,1.48203
R,11.0986,1.62508,4.83185,1.44423,11.4783,1.42876,11.0979,1.637,4.8844,1.46213,2.87464
L,11.3831,1.65876,4.90315,1.37141,11.587,1.61462,11.3416,1.71179,4.85948,1.52832,2.41146
R,11.6141,1.71159,4.79519,1.34784,11.4763,1.53917,11.584,1.78992,4.83313,1.59551,0.626963
L,11.8416,1.7694,4.7662,1.35759,11.7788,1.74591,11.8251,1.87144,4.80531,1.66366,0.242105
R,12.0983,1.86567,4.96523,1.52022,12.136,2.14937,12.0647,1.95639,4.77598,1.73273,1.3335
L,12.3475,1.88148,4.97113,1.37652,12.3226,1.78353,12.3029,2.04482,4.74508,1.80265,0.717818
R,12.6043,1.93998,5.08656,1.39436,12.5457,1.77728,12.5394,2.13677,4.71257,1.87338,0.452484
L,12.8065,2.08624,4.96414,1.66091,12.5924,2.17509,12.7743,2.23227,4.67842,1.94485,3.17397
R,13.0735,2.20526,5.11067,1.84922,13.2198,2.66441,13.0075,2.33137,4.64258,2.01701,2.21219
L,13.2823,2.353,4.98447,2.07171,13.0875,2.40708,13.2388,2.43409,4.605,2.08981,2.34024
R,13.4552,2.51121,4.46887,2.18168,12.7087,3.12439,13.4682,2.54047,4.56565,2.16317,10.4607
L,13.7039,2.6157,4.48299,2.23818,13.836,2.62479,13.6955,2.65053,4.52448,2.23703,0.934732
R,13.9229,2.7303,4.44696,2.31635,13.8302,2.73893,13.9208,2.7643,4.48147,2.31134,0.0980466
L,14.1504,2.88204,4.40611,2.48606,14.2106,2.94205,14.1439,2.88179,4.43656,2.38601,0.430657
R,14.4003,3.00084,4.62691,2.62212,14.5568,2.87021,14.3646,3.00303,4.38974,2.46099,1.27899
L,14.6124,3.0518,4.58484,2.45408,14.4616,2.90734,14.583,3.12802,4.34097,2.5362,2.57937
R,14.8408,3.22288,4.62331,2.69285,14.6754,3.96041,14.7989,3.25679,4.29021,2.61157,3.09105
L,15.054,3.42124,4.5202,2.94817,15.0261,3.5067,15.0122,3.38932,4.23744,2.68703,0.615346
R,15.2619,3.60076,4.25856,3.03932,15.3685,4.14761,15.2228,3.52563,4.18263,2.76249,2.45295
L,15.4769,3.78177,4.19101,3.20013,15.5236,3.82936,15.4306,3.66572,4.12575,2.83789,0.263999
R,15.6873,3.91645,4.14525,3.2043,15.7234,3.4105,15.6355,3.80957,4.06678,2.91315,1.20447
L,15.9123,4.04168,4.13729,3.17328,15.9774,4.00094,15.8375,3.95719,4.00571,2.98817,0.387745
R,16.1091,4.1985,3.9164,3.14979,16.3376,4.21632,16.0363,4.10854,3.94251,3.0629,1.156
L,16.3019,4.39088,3.84097,3.31516,16.3313,4.44499,16.2319,4.26363,3.87716,3.13723,0.247406
R,16.5129,4.55634,3.89396,3.42834,16.7586,4.48231,16.4242,4.42242,3.80966,3.21109,0.809373
L,16.6906,4.71403,3.80982,3.45895,16.6039,4.67344,16.613,4.5849,3.74,3.28438,0.490612
R,16.8472,4.89108,3.41798,3.36042,16.9236,5.10119,16.7983,4.75103,3.66817,3.35704,2.39744
L,17.0011,5.12177,3.28809,3.59907,16.9955,5.21099,16.9799,4.92077,3.59416,3.42897,0.600829
R,17.1758,5.277,3.28122,3.62719,17.3421,4.64623,17.1579,5.09409,3.51797,3.50008,1.58173
L,17.33,5.45382,3.19186,3.68133,17.2894,5.43542,17.3319,5.27094,3.4396,3.57028,0.105666
R,17.4919,5.60347,3.12551,3.63708,17.6463,4.74597,17.5019,5.45128,3.35907,3.63949,2.69757
L,17.6837,5.71258,3.15276,3.4866,17.7853,5.62476,17.6679,5.63506,3.27637,3.70762,1.26408
R,17.8347,5.89131,3.01652,3.49495,17.9216,6.07151,17.8297,5.82221,3.19151,3.77458,0.434594
L,18.002,6.09601,2.97643,3.62236,18.1263,6.16985,17.9872,6.01269,3.10453,3.84027,1.12823
R,18.1556,6.29924,2.963,3.77532,18.1245,6.79027,18.1402,6.20641,3.01542,3.90462,1.01126
L,18.2709,6.56274,2.78613,4.03784,18.2164,6.66138,18.2888,6.40332,2.92421,3.96753,0.959712
R,18.4047,6.77473,2.6668,4.10428,18.4022,7.02231,18.4328,6.60333,2.83093,4.0289,0.258922
L,18.5555,6.8948,2.66734,3.91755,18.5422,6.76013,18.572,6.80638,2.7356,4.08867,1.31864
R,18.7062,7.10264,2.72636,4.08774,18.8089,7.24388,18.7064,7.01237,2.63825,4.14672,0.720106
L,18.9114,7.232,2.83194,3.89853,19.1441,7.18344,18.8359,7.22122,2.53893,4.20299,3.41663
R,19.0068,7.41351,2.5349,3.75109,18.5479,7.4012,18.9604,7.43283,2.43767,4.25737,3.47323
L,19.0833,7.71523,2.31916,4.10239,19.0138,7.8688,19.0798,7.64712,2.3345,4.3098,2.18453
R,19.2083,7.91506,2.31176,4.18087,19.3089,7.67375,19.1939,7.86397,2.22949,4.36017,0.304597
L,19.2824,8.14418,2.14035,4.28573,19.132,8.12845,19.3028,8.08329,2.12266,4.40842,1.25932
R,19.3818,8.35404,2.11067,4.39063,19.0239,8.17194,19.4062,8.30497,2.01409,4.45445,2.06263
L,19.4823,8.4862,2.07243,4.19191,19.347,8.30741,19.5042,8.5289,1.90381,4.49819,2.945
R,19.579,8.68284,1.95376,4.14014,19.6843,8.35902,19.5966,8.75494,1.7919,4.53956,0.409805
L,19.7424,8.85736,2.02843,4.06483,20.0039,8.8906,19.6835,8.983,1.67841,4.57848,3.83645
R,19.8229,9.06605,1.85457,4.02058,19.6061,9.48659,19.7645,9.21294,1.56341,4.61488,0.875347
L,19.9447,9.31461,1.82339,4.16571,20.1574,9.45949,19.8398,9.44463,1.44697,4.64869,3.54538
R,19.9987,9.51989,1.577,4.0504,19.6163,9.76606,19.9093,9.67795,1.32916,4.67984,1.86918
L,20.073,9.78306,1.45516,4.23712,20.1573,9.90876,19.9728,9.91275,1.21005,4.70826,1.3483
R,20.132,10.0421,1.38137,4.49838,19.1911,11.5493,20.0303,10.1489,1.08972,4.73389,7.6471
L,20.1692,10.3446,1.15749,4.73739,20.166,10.4687,20.0818,10.3863,0.968259,4.75666,1.11537
R,20.1835,10.5834,0.873777,4.6635,19.6774,10.803,20.1271,10.6247,0.845742,4.77652,2.40869
L,20.2342,10.871,0.72238,4.82586,20.371,11.0109,20.1663,10.864,0.722256,4.7934,2.10742
R,20.2559,11.1459,0.579827,5.00973,19.4335,12.3402,20.1993,11.1041,0.597892,4.80727,4.80724
L,20.2945,11.3745,0.491782,4.96163,20.3164,11.3483,20.2261,11.3449,0.472738,4.81807,0.0907126
R,20.2375,11.6259,0.0562248,4.76821,19.2063,12.2418,20.2466,11.5861,0.346889,4.82575,8.75232
L,20.3154,11.8455,0.0861066,4.69684,20.6141,11.9422,20.2608,11.8275,0.220439,4.83027,5.36085
R,20.3395,12.0868,0.120829,4.95184,19.966,11.9688,20.2687,12.0692,0.093487,4.83159,4.47771
L,20.3176,12.3944,-0.108253,5.12162,20.3263,12.4966,20.2701,12.3108,-0.0338694,4.82968,0.732994
R,20.2651,12.6336,-0.421963,4.91005,20.0192,12.4823,20.2652,12.5522,-0.161529,4.82451,2.55175
L,20.3011,12.8501,-0.415314,4.80194,20.498,12.8924,20.254,12.7933,-0.28939,4.81605,2.28996
R,20.2968,13.071,-0.48973,4.74419,20.9151,12.2555,20.2363,13.0339,-0.417348,4.80428,2.14815
L,20.2678,13.268,-0.593538,4.626,20.1943,13.1688,20.2122,13.2738,-0.545298,4.78918,0.852441
R,20.2311,13.5021,-0.702779,4.69043,19.858,13.5236,20.1818,13.5129,-0.673135,4.77072,1.36937
L,20.2054,13.7722,-0.826495,4.76061,20.3245,13.8896,20.1449,13.7509,-0.800753,4.74892,1.50445
R,20.1544,13.992,-0.974491,4.64185,20.3387,13.5307,20.1017,13.9878,-0.928043,4.72374,0.744327
L,20.0918,14.2597,-1.15573,4.71039,20.1216,14.337,20.0521,14.2233,-1.0549,4.69521,0.418602
R,20.0197,14.4894,-1.30035,4.68691,19.6717,14.4038,19.9962,14.4573,-1.18121,4.66331,1.3233
L,19.8996,14.7624,-1.58745,4.76462,19.781,14.773,19.934,14.6897,-1.30687,4.62805,0.919334
R,19.8357,14.9772,-1.62221,4.73018,20.1149,14.0165,19.8655,14.9202,-1.43177,4.58944,3.40023
L,19.8239,15.173,-1.548,4.55722,20.0208,15.2053,19.7908,15.1486,-1.55581,4.54751,2.35282
R,19.7034,15.3643,-1.81742,4.1346,20.0157,15.3443,19.7099,15.3749,-1.67887,4.50226,7.12521
L,19.6938,15.5218,-1.7223,3.92243,19.9131,15.554,19.6229,15.5989,-1.80085,4.45372,2.94446
R,19.6193,15.7053,-1.78415,3.87859,19.9388,15.0864,19.5298,15.8203,-1.92164,4.40193,1.24143
L,19.4969,15.9415,-2.00236,3.94643,19.4748,16.0098,19.4307,16.039,-2.04114,4.3469,0.392599
R,19.4047,16.1415,-2.05456,3.98771,19.1556,16.0022,19.3257,16.2549,-2.15925,4.28868,1.84796
L,19.2915,16.3257,-2.16631,3.90041,19.238,16.2719,19.2148,16.4679,-2.27586,4.22731,0.305908
R,19.1827,16.512,-2.26536,3.80762,19.4007,16.2962,19.0981,16.6777,-2.39087,4.16284,0.196634
L,19.029,16.7538,-2.50472,3.8897,19.0029,16.8387,18.9757,16.8841,-2.50418,4.0953,0.596036
R,18.8674,16.948,-2.78188,3.67513,18.8373,17.7112,18.8477,17.0872,-2.61571,4.02476,6.4191
L,18.6568,17.2243,-3.16979,3.81961,18.6148,17.3832,18.7142,17.2866,-2.72534,3.95127,2.00054
R,18.5682,17.4234,-2.95301,3.88011,18.8177,17.0316,18.5752,17.4822,-2.83299,3.87489,6.17668
L,18.3343,17.6403,-3.27891,3.89058,18.1023,17.5529,18.4309,17.674,-2.93858,3.79568,3.49817
R,18.1913,17.8397,-3.26173,3.90225,18.2749,17.4877,18.2814,17.8617,-3.042,3.71372,1.78233
L,18.079,18.0107,-3.2027,3.75154,18.2094,18.0461,18.1268,18.0453,-3.14318,3.62906,1.08366
R,17.906,18.1571,-3.32849,3.50209,18.3021,17.498,17.9671,18.2246,-3.24204,3.5418,2.53529
L,17.804,18.2728,-3.20486,3.25304,17.9018,18.2183,17.8026,18.3994,-3.3385,3.45199,0.98488
R,17.6838,18.4406,-3.17378,3.18517,18.8558,18.1365,17.6334,18.5697,-3.43247,3.35973,6.33624
L,17.4647,18.6491,-3.43607,3.25509,17.3845,18.7039,17.4595,18.7353,-3.5239,3.26509,0.753785
R,17.2908,18.7815,-3.52076,3.068,17.7945,18.0801,17.281,18.8962,-3.61271,3.16817,1.88121
L,17.1397,18.91,-3.51278,2.9132,17.1762,18.8863,17.0983,19.0521,-3.69883,3.06904,0.151247
R,16.9736,19.0794,-3.56579,2.89169,16.9398,19.7311,16.9113,19.203,-3.78221,2.9678,2.98484
L,16.7467,19.2047,-3.74021,2.77881,16.5734,19.052,16.7201,19.3488,-3.86278,2.86455,2.84898
R,16.5495,19.3635,-3.8744,2.72141,16.1674,20.2201,16.5251,19.4894,-3.9405,2.75938,3.28667
